PCODE,centrallon,centrallat
MX01001,-102.29580,21.81144
MX01002,-102.04564,22.12651
MX01003,-102.70490,21.90069
MX01004,-102.29704,22.36063
MX01005,-102.44565,21.93212
MX01006,-102.30168,22.10454
MX01007,-102.34073,22.26741
MX01008,-102.52584,22.14663
MX01009,-102.19213,22.23697
MX01010,-102.03540,21.92152
MX01011,-102.22902,22.03307
MX02001,-114.95140,30.04086
MX02002,-115.16760,31.74182
MX02003,-116.26902,32.44079
MX02004,-116.81982,32.40406
MX02005,-116.89072,32.25295
MX03001,-111.80854,25.53255
MX03002,-113.22574,27.28714
MX03003,-110.64135,24.18435
MX03008,-109.75330,23.27660
MX03009,-111.44877,25.95321
MX04001,-90.21680,20.38264
MX04002,-90.26746,19.61688
MX04003,-91.45158,18.49877
MX04004,-90.49925,19.13415
MX04005,-90.13539,20.12444
MX04006,-89.60964,19.47407
MX04007,-91.97382,18.27307
MX04008,-90.23293,19.96962
MX04009,-90.47435,18.55060
MX04010,-89.66159,18.40289
MX04011,-90.71672,18.09917
MX07001,-92.68169,15.41414
MX07002,-92.84090,16.53775
MX07003,-92.77233,15.23374
MX07004,-91.86257,16.66188
MX07005,-92.85734,17.38559
MX07006,-92.09751,15.55708
MX07007,-92.39543,16.51529
MX07008,-92.68045,15.75815
MX07009,-93.93735,16.24896
MX07010,-92.16129,15.49176
MX07011,-92.24242,15.61958
MX07012,-93.31907,16.86657
MX07013,-92.95879,17.01412
MX07014,-92.74129,17.03175
MX07015,-92.16426,15.08637
MX07016,-91.99760,17.77987
MX07017,-93.86750,16.71284
MX07018,-93.12608,17.12057
MX07019,-92.17897,16.29688
MX07020,-92.77124,15.96089
MX07021,-93.25226,17.09476
MX07022,-92.61180,17.02127
MX07023,-92.68017,16.81937
MX07024,-92.21697,16.61153
MX07025,-93.13154,17.32680
MX07026,-92.57044,16.95016
MX07027,-92.97063,16.59807
MX07028,-92.72594,16.55397
MX07029,-93.11152,16.99533
MX07030,-92.39129,15.79903
MX07031,-92.03514,17.10969
MX07032,-92.55817,15.36443
MX07033,-93.27619,17.29407
MX07034,-92.08801,15.76278
MX07035,-92.21330,14.74999
MX07036,-92.21840,15.51300
MX07037,-92.42377,15.00940
MX07038,-92.39963,16.69428
MX07039,-92.69493,17.24317
MX07040,-92.54680,15.09702
MX07041,-91.79579,16.20470
MX07042,-92.97863,17.29853
MX07043,-93.09902,17.42140
MX07044,-92.89700,16.81795
MX07045,-92.97559,17.46687
MX07046,-93.67208,16.52274
MX07047,-92.87442,17.08962
MX07048,-93.19334,17.69945
MX07049,-92.77668,16.92438
MX07050,-91.75107,17.60664
MX07051,-92.89144,15.46109
MX07052,-91.74028,16.38560
MX07053,-92.18590,15.37316
MX07054,-92.49718,14.88047
MX07055,-92.20165,14.82164
MX07056,-92.56310,16.87481
MX07057,-92.33147,15.31383
MX07058,-92.61005,16.43820
MX07059,-91.33802,16.70191
MX07060,-93.17388,17.22080
MX07061,-93.48660,16.81966
MX07062,-93.39689,17.43326
MX07063,-93.08380,16.89523
MX07064,-92.27479,16.78100
MX07065,-91.81273,17.44412
MX07066,-92.46407,17.06010
MX07067,-93.05690,17.18919
MX07068,-93.19861,17.53035
MX07069,-93.19173,15.67005
MX07070,-92.26393,15.43255
MX07071,-92.61957,15.16542
MX07072,-92.88121,17.21783
MX07073,-92.99658,17.19222
MX07074,-93.22938,17.86422
MX07075,-92.36473,16.36531
MX07076,-92.61076,17.31983
MX07077,-92.18714,17.43762
MX07078,-92.58995,16.67830
MX07079,-93.20937,16.91261
MX07080,-92.45622,15.54732
MX07081,-92.62502,17.13892
MX07082,-92.34829,17.03727
MX07083,-92.37595,16.10643
MX07084,-93.00479,17.38699
MX07085,-92.98867,16.92597
MX07086,-93.13633,16.58555
MX07087,-92.22709,14.63965
MX07088,-93.25159,17.48886
MX07089,-92.30466,14.93436
MX07090,-93.11231,17.22011
MX07091,-92.99728,17.25097
MX07092,-93.51069,17.20816
MX07093,-92.47201,16.83319
MX07094,-92.50881,16.56110
MX07096,-92.48583,17.37919
MX07097,-93.65399,15.99085
MX07098,-92.65996,16.51516
MX07099,-91.89940,16.02453
MX07100,-92.26963,17.30079
MX07101,-93.13729,16.73945
MX07102,-92.19880,14.89403
MX07103,-92.41156,15.14044
MX07104,-92.24644,16.12408
MX07105,-92.10426,15.05972
MX07106,-92.60790,16.31731
MX07107,-93.19761,16.11215
MX07108,-93.37519,16.34614
MX07109,-92.32585,17.18556
MX07110,-92.72378,16.62247
MX07111,-92.78198,16.72192
MX07112,-92.39167,16.93016
MX07113,-92.69018,16.92183
MX07114,-90.56335,16.28155
MX07115,-91.24859,16.19919
MX07116,-90.74337,16.24640
MX07117,-92.66439,15.67168
MX07118,-92.80309,17.15401
MX07119,-92.72155,16.94936
MX08001,-106.38069,30.44924
MX08002,-105.58857,29.07329
MX08003,-105.30549,27.09495
MX08004,-105.82346,28.58223
MX08005,-107.51981,31.33194
MX08006,-107.29164,28.85800
MX08007,-106.54294,26.75306
MX08008,-107.69330,26.94545
MX08009,-107.58012,27.80784
MX08010,-107.12140,30.05814
MX08011,-104.42366,28.03370
MX08012,-107.06325,27.81015
MX08013,-108.20229,30.19392
MX08014,-105.06996,26.63394
MX08015,-105.20778,29.75704
MX08016,-105.04486,27.89765
MX08017,-106.94869,28.72347
MX08018,-106.89693,28.21163
MX08019,-106.23252,29.00054
MX08020,-108.51637,27.45596
MX08021,-105.49186,28.11949
MX08022,-106.46115,27.99997
MX08023,-107.64464,30.16075
MX08024,-106.34955,28.32120
MX08025,-107.73732,29.33656
MX08026,-106.56942,28.29879
MX08027,-107.24776,27.15044
MX08028,-105.64063,30.82727
MX08029,-107.03394,26.16798
MX08030,-108.27406,27.39095
MX08031,-107.55805,28.38510
MX08032,-105.69704,27.12904
MX08033,-106.06794,27.06932
MX08034,-107.72354,29.72209
MX08035,-108.45022,30.84935
MX08036,-104.39070,27.08211
MX08037,-106.56419,31.44961
MX08038,-105.05450,28.54101
MX08039,-105.01098,26.92622
MX08040,-108.32932,29.32693
MX08041,-107.97330,27.83630
MX08042,-103.82475,28.92881
MX08043,-107.72063,28.82410
MX08044,-105.52292,26.72506
MX08045,-105.50146,28.35062
MX08046,-107.72813,26.57153
MX08047,-108.73725,28.15275
MX08048,-107.14038,29.29526
MX08049,-106.68425,27.42458
MX08050,-107.72906,30.53285
